transaction_id,customer_id,order_date,product_category,product_price,quantity,payment_method,country,discount_percent,shipping_days,customer_age,customer_gender,is_returned
T102153,C2718,29-05-2023,Clothing,185.15,2,Bank Transfer,South Africa,30.22,3,58.0,Female,1
T102154,C1902,2023/04/17,Electronics,152.61,1,Bank Transfer,Ethiopia,34.67,7,56.0,Female,1
T102155,C2441,17-07-2023,Sports,14852.87,2,Card,Ethiopia,19.55,8,,Male,0
T102156,C1889,2023/07/13,Home,252.36,2,Card,Ethiopia,35.02,2,40.0,Male,1
T102157,C1892,2023/11/14,Home,302.02,3,Mobile Money,ethiopia,16.16,1,45.0,Male,0
T102158,C2120,01-01-2024,Clothing,181.62,4,Bank Transfer,South Africa,17.54,11,49.0,Female,1
T102159,C2741,26-05-2023,Home,163.87,2,Cash,Nigeria,46.17,9,64.0,Male,1
T102160,C1647,2023/02/17,Home,374.85,1,Card,Nigeria,5.44,11,61.0,Female,1
T102161,C2646,24-09-2022,Sports,110.01,5,Bank Transfer,NIGERIA,39.29,13,32.0,Female,1
T102162,C1566,2023/08/11,Clothing,242.36,2,Cash,NIGERIA,45.99,2,22.0,Male,0
T102163,C1993,25-10-2022,Sports,493.54,2,Card,Nigeria,15.97,5,66.0,Female,1
T102164,C1335,02-09-2023,Home,245.97,4,,ethiopia,37.55,10,53.0,Female,1
T102165,C3000,2022/08/26,Home,223.4,3,Bank Transfer,ethiopia,37.38,6,41.0,Male,0
T102166,C2637,2023/10/09,Home,135.65,5,Bank Transfer,NIGERIA,12.16,3,34.0,Female,1
T102167,C1485,2023/03/26,Electronics,256.26,4,Mobile Money,Kenya,39.27,2,66.0,Female,1
T102168,C1764,2023/05/20,Clothing,97.76,1,Card,Nigeria,15.98,2,42.0,Female,1
T102169,C1066,2022/11/27,Electronics,142.24,3,Bank Transfer,Kenya ,5.16,10,21.0,Female,1
T102170,C1484,2022/07/27,Clothing,187.37,3,Card,Ethiopia,25.19,2,18.0,Female,1
T102171,C2296,2023/04/27,Clothing,394.45,4,Bank Transfer,S. Africa,46.6,10,50.0,Female,1
T102172,C1843,2022/01/28,Sports,166.32,1,Card,Ghana,13.87,1,26.0,Male,0
T102173,C2405,25-03-2022,Sports,356.78,2,Bank Transfer,Kenya ,25.84,7,39.0,Male,1
T102174,C1871,27-05-2023,Sports,105.63,4,Cash,Egypt,27.68,10,53.0,Male,1
T102175,C1014,2023/05/22,Home,346.89,3,Cash,Egypt,30.93,7,57.0,Male,1
T102176,C2517,2023/12/16,Home,98.99,5,Bank Transfer,Kenya,38.97,6,33.0,Male,0
T102177,C1990,2023/06/18,Clothing,439.32,2,Card,S. Africa,8.53,8,,Female,0
T102178,C2159,2022/02/06,Home,21.5,5,Cash,NIGERIA,38.92,2,28.0,Female,1
T102179,C1688,2023/11/14,Sports,188.84,5,Mobile Money,South Africa,36.75,6,,Female,1
T102180,C2843,06-11-2023,Electronics,93.52,5,,ethiopia,45.6,9,31.0,Female,1
T102181,C2606,2023/04/29,Electronics,80.69,1,Mobile Money,Nigeria,39.46,13,33.0,Female,0
T102182,C2071,19-11-2023,Electronics,319.43,4,Card,Ghana,0.83,11,,Female,1
T102183,C2130,05-11-2022,Clothing,241.39,5,Card,NIGERIA,15.51,10,45.0,Male,0
T102184,C2614,2023/11/03,Clothing,246.18,3,Mobile Money,ethiopia,45.82,1,32.0,Male,1
T102185,C2784,2023/10/21,Home,319.85,4,Bank Transfer,S. Africa,,1,31.0,Male,1
T102186,C2436,2023/07/18,Sports,87.03,3,Card,NIGERIA,5.47,10,46.0,Female,0
T102187,C2950,2023/08/28,Electronics,484.97,5,Card,Nigeria,11.49,5,24.0,Male,1
T102188,C1111,2022/04/14,Home,207.38,3,Bank Transfer,Ethiopia,43.3,2,43.0,Female,1
T102189,C1352,2022/06/15,Home,396.93,3,Bank Transfer,Nigeria,27.77,11,68.0,Female,0
T102190,C2335,14-08-2022,Home,51.55,3,Cash,Kenya,13.25,5,44.0,Female,1
T102191,C2568,2022/04/18,Sports,484.43,5,Cash,NIGERIA,36.93,6,60.0,Male,0
T102192,C2908,2023/04/20,Home,245.13,1,Cash,South Africa,22.21,6,37.0,Female,1
T102193,C1004,2023/12/23,Home,64.93,3,Card,NIGERIA,34.69,4,38.0,Female,0
T102194,C2140,22-07-2022,Sports,416.41,3,Card,Egypt,17.23,10,35.0,Female,0
T102195,C2774,2023/05/08,Home,272.88,5,Mobile Money,ethiopia,46.13,8,22.0,Male,0
T102196,C1628,2022/02/03,Clothing,109.89,1,Cash,Kenya ,7.92,3,26.0,Female,1
T102197,C1596,2023/03/21,Home,397.78,5,Mobile Money,ethiopia,48.48,8,55.0,Female,1
T102198,C2243,18-09-2023,Electronics,247.05,4,Cash,NIGERIA,20.44,14,18.0,Female,0
T102199,C1828,2023/10/27,Sports,108.57,2,Card,South Africa,43.71,10,5.0,Male,0
T102200,C1387,24-07-2022,Home,334.05,1,Card,NIGERIA,13.98,3,26.0,Male,0
T102201,C2025,2023/06/26,Home,40.62,2,Bank Transfer,Kenya,17.97,13,38.0,Male,0
T102202,C2379,2023/01/22,Electronics,423.79,4,Mobile Money,NIGERIA,1.89,11,27.0,Female,0
T102203,C1296,11-12-2022,Clothing,447.41,1,Cash,NIGERIA,6.27,5,38.0,Female,0
T102204,C1808,2022/05/20,Electronics,499.42,3,Cash,NIGERIA,26.55,6,52.0,Male,1
T102205,C2141,2023/11/21,Electronics,224.05,2,Card,Kenya ,4.14,4,30.0,Male,0
T102206,C2870,2022/02/23,Sports,399.07,2,Mobile Money,ethiopia,41.27,8,63.0,Male,0
T102207,C1473,2022/06/22,Electronics,469.95,2,Cash,Kenya ,33.53,13,20.0,Male,1
T102208,C2002,12-01-2023,Electronics,203.9,5,Mobile Money,Nigeria,2.87,14,29.0,Female,1
T102209,C1443,2023/02/14,Clothing,178.44,3,Card,Egypt,27.21,6,65.0,Female,0
T102210,C2263,19-08-2023,Clothing,395.82,1,Cash,S. Africa,,4,25.0,Female,1
T102211,C2189,07-03-2023,Electronics,159.63,5,Cash,South Africa,,7,29.0,Female,0
T102212,C2406,04-08-2023,Sports,69.57,2,Cash,Kenya,14.64,3,18.0,Male,1
T102213,C1247,2023/09/09,Home,461.01,3,Card,S. Africa,18.1,10,,Female,1
T102214,C2579,2023/03/28,Clothing,82.86,2,Mobile Money,Kenya,23.59,6,25.0,Male,0
T102215,C2442,2022/07/10,Sports,53.42,3,,Ghana,29.06,6,46.0,Male,1
T102216,C2187,2022/02/14,Electronics,99.86,4,Bank Transfer,Egypt,8.16,6,51.0,Male,1
T102217,C2670,2023/07/22,Electronics,57.42,1,Card,Ethiopia,36.17,5,50.0,Female,1
T102218,C2978,2023/03/03,Electronics,467.94,4,Mobile Money,Nigeria,34.12,6,38.0,Female,1
T102219,C2516,06-01-2022,Electronics,326.52,4,Bank Transfer,Kenya,23.08,4,20.0,Male,1
T102220,C1436,30-06-2023,Electronics,263.56,1,Bank Transfer,South Africa,48.24,7,45.0,Male,0
T102221,C2166,2022/03/07,Home,69.29,1,Bank Transfer,Ethiopia,42.59,7,31.0,Male,1
T102222,C2966,2023/11/08,Electronics,130.47,3,Mobile Money,NIGERIA,7.22,9,32.0,Male,1
T102223,C2832,28-10-2022,Electronics,214.25,4,Card,S. Africa,40.45,12,27.0,Female,1
T102224,C1652,31-05-2022,Sports,132.27,2,Card,Ghana,29.02,7,38.0,Female,0
T102225,C1196,2023/12/09,Sports,464.58,2,Mobile Money,South Africa,31.64,1,52.0,Male,1
T102226,C2096,2023/03/15,Home,190.99,5,Cash,Ghana,5.32,11,35.0,Female,1
T102227,C2715,26-05-2023,Home,188.7,5,Bank Transfer,S. Africa,23.89,7,41.0,Female,0
T102228,C1156,2023/11/13,Sports,163.29,1,Cash,Kenya,45.6,6,53.0,Female,1
T102229,C2319,2022/01/19,Home,15.52,3,Card,Kenya ,46.09,2,46.0,Female,1
T102230,C2034,2022/02/20,Clothing,305.14,2,Mobile Money,Kenya,4.52,5,62.0,Female,0
T102231,C2514,2023/05/15,Electronics,268.71,1,Bank Transfer,South Africa,4.45,11,47.0,Female,0
T102232,C2798,22-07-2023,Clothing,478.01,4,Bank Transfer,Egypt,0.12,14,40.0,Female,0
T102233,C1869,2022/06/29,Electronics,134.3,2,Bank Transfer,Kenya ,9.43,11,62.0,Female,0
T102234,C2859,2022/04/14,Home,10.87,1,Bank Transfer,Kenya ,13.05,9,57.0,Female,0
T102235,C1701,2022/02/21,Home,72.29,3,Cash,Nigeria,43.18,6,65.0,Female,1
T102236,C2244,2023/12/25,Sports,392.93,4,Mobile Money,South Africa,26.03,7,68.0,Male,0
T102237,C1174,2022/09/03,Electronics,320.14,2,Card,Kenya ,16.41,13,29.0,Female,1
T102238,C2955,2023/06/22,Home,439.04,2,Cash,Ethiopia,45.32,13,66.0,Female,0
T102239,C2927,2023/08/13,Electronics,10.91,3,Bank Transfer,South Africa,23.99,4,25.0,Male,0
T102240,C1769,28-10-2023,Electronics,405.81,1,Mobile Money,South Africa,3.73,9,63.0,Male,0
T102241,C1404,2023/03/31,Sports,402.95,1,Cash,Kenya ,3.06,5,37.0,Female,1
T102242,C1063,2023/03/27,Electronics,18706.58,3,Cash,Ghana,27.59,2,19.0,Male,0
T102243,C2059,26-11-2022,Clothing,269.8,5,Cash,ethiopia,24.32,8,41.0,Female,0
T102244,C1657,29-08-2022,Electronics,12.99,4,Card,NIGERIA,10.66,2,68.0,Female,0
T102245,C1213,2023/08/28,Clothing,8673.54,1,Cash,Nigeria,11.52,2,18.0,Male,1
T102246,C2171,2023/10/09,Electronics,406.32,1,Card,Egypt,,3,43.0,Female,1
T102247,C2994,11-12-2023,Home,138.66,2,Mobile Money,Egypt,3.03,6,54.0,Male,1
T102248,C2467,2022/08/13,Sports,64.23,4,Cash,Nigeria,31.07,14,,Male,1
T102249,C2424,2023/12/20,Electronics,378.0,4,Mobile Money,NIGERIA,16.33,12,52.0,Female,1
T102250,C1602,09-07-2022,Home,463.64,1,Mobile Money,Egypt,20.99,5,,Female,1
T102251,C2636,2022/11/20,Clothing,490.58,3,Card,Nigeria,17.46,1,,Male,1
T102252,C2604,2022/10/06,Home,132.4,1,Card,Nigeria,1.12,5,34.0,Female,0
T102253,C1605,2023/07/03,Home,206.11,5,Cash,NIGERIA,21.25,7,30.0,Female,1
T102254,C2512,23-03-2022,Electronics,446.76,4,Mobile Money,Egypt,2.99,6,,Male,0
T102255,C1692,2022/01/23,Electronics,132.08,3,Bank Transfer,Kenya ,42.84,11,30.0,Male,0
T102256,C2414,2022/08/23,Clothing,65.21,4,Card,Ghana,48.17,9,36.0,Female,1
T102257,C1748,2023/10/22,Clothing,157.61,5,Cash,Kenya,43.34,13,46.0,Female,1
T102258,C2571,2023/05/20,Clothing,231.49,5,Card,Ghana,45.77,9,54.0,Male,0
T102259,C2176,2023/11/08,Home,432.65,4,Cash,S. Africa,7.73,9,69.0,Male,1
T102260,C2539,2022/09/07,Sports,131.05,2,Bank Transfer,Egypt,12.41,6,24.0,Female,0
T102261,C1867,2022/05/10,Sports,220.43,4,Bank Transfer,S. Africa,4.08,4,28.0,Female,0
T102262,C1701,2023/08/14,Clothing,220.44,1,Mobile Money,Kenya ,15.93,11,59.0,Male,1
T102263,C1993,2022/02/17,Home,241.35,1,,Kenya ,42.29,1,41.0,Male,0
T102264,C1737,2023/01/13,Home,22.71,5,Mobile Money,Egypt,6.61,11,34.0,Female,1
T102265,C1731,2022/12/11,Sports,417.56,4,Cash,Egypt,34.49,1,,Female,0
T102266,C2598,2022/01/11,Clothing,368.2,2,Bank Transfer,Egypt,33.61,8,63.0,Female,0
T102267,C2506,2023/10/23,Sports,11146.23,5,Card,Ethiopia,38.89,5,29.0,Female,0
T102268,C2417,05-01-2023,Sports,202.06,3,Cash,Kenya ,34.04,5,44.0,Male,0
T102269,C1797,2022/07/17,Sports,15.74,4,Cash,Ethiopia,17.21,10,45.0,Male,1
T102270,C2279,06-06-2023,Electronics,27.81,2,Cash,Ghana,41.24,3,67.0,Male,0
T102271,C2702,2023/03/19,Clothing,142.96,5,Card,NIGERIA,33.64,10,25.0,Male,1
T102272,C1861,27-09-2022,Electronics,273.49,5,Card,Egypt,29.51,2,19.0,Male,0
T102273,C1752,2023/09/10,Sports,324.92,2,Mobile Money,ethiopia,33.78,6,61.0,Female,0
T102274,C2085,28-05-2023,Clothing,242.27,5,Mobile Money,South Africa,0.49,3,48.0,Male,1
T102275,C2178,2022/07/29,Sports,28.06,3,Cash,Kenya ,30.87,14,58.0,Male,1
T102276,C1294,2023/02/09,Sports,246.27,5,Mobile Money,Kenya,40.07,7,50.0,Female,1
T102277,C2614,2023/07/06,Electronics,13.92,2,Bank Transfer,NIGERIA,15.67,5,38.0,Male,0
T102278,C1288,19-01-2022,Home,448.43,1,Card,Ghana,12.47,8,29.0,Female,0
T102279,C1596,2023/09/28,Home,44.08,2,Card,Nigeria,44.11,9,43.0,Male,0
T102280,C2664,2022/08/13,Electronics,359.33,4,Mobile Money,Kenya,45.26,7,69.0,Male,0
T102281,C1378,2022/04/17,Sports,110.47,4,Card,Nigeria,4.89,5,44.0,Male,0
T102282,C2944,2023/11/25,Electronics,210.88,4,Mobile Money,S. Africa,21.32,3,38.0,Female,0
T102283,C1699,2023/07/10,Home,46.31,1,Card,Egypt,2.63,12,22.0,Female,1
T102284,C1119,2022/06/04,Clothing,352.88,4,Bank Transfer,NIGERIA,2.48,9,39.0,Female,1
T102285,C1716,2022/01/09,Clothing,203.35,1,Bank Transfer,Ghana,33.15,7,67.0,Female,1
T102286,C2746,2022/09/22,Clothing,252.0,3,Card,Egypt,,2,60.0,Female,1
T102287,C2864,17-05-2023,Clothing,370.32,3,Card,Ghana,4.57,5,57.0,Female,0
T102288,C2533,2023/02/19,Electronics,34.99,1,Card,Kenya,11.37,11,67.0,Female,1
T102289,C2797,2023/09/25,Sports,75.77,5,Card,Nigeria,22.26,9,,Female,0
T102290,C2846,29-09-2022,Home,81.31,5,Bank Transfer,Kenya,34.16,2,68.0,Male,0
T102291,C2631,2023/05/22,Electronics,436.0,1,,Kenya ,45.63,3,41.0,Female,0
T102292,C2084,2023/10/03,Sports,27.64,2,Card,Ethiopia,39.92,13,55.0,Female,0
T102293,C1021,2023/10/13,Clothing,83.43,3,Bank Transfer,South Africa,21.14,5,21.0,Male,0
T102294,C2406,2022/02/16,Home,345.6,4,Card,Ethiopia,17.11,3,31.0,Male,0
T102295,C1304,2023/01/02,Electronics,425.7,2,Card,NIGERIA,35.91,4,39.0,Male,1
T102296,C1252,2023/02/05,Sports,220.62,5,Bank Transfer,Egypt,27.08,14,42.0,Male,0
T102297,C2598,04-01-2023,Sports,98.06,1,Cash,Ghana,17.98,1,,Female,1
T102298,C2678,2022/07/29,Sports,409.53,2,Mobile Money,Nigeria,49.11,7,52.0,Female,0
T102299,C2744,2023/12/30,Clothing,379.45,1,Cash,Egypt,41.83,1,56.0,Female,0
T102300,C1786,2022/10/10,Clothing,313.79,-3,Bank Transfer,Nigeria,31.77,12,33.0,Female,0
T102301,C1259,2023/05/16,Electronics,230.45,1,,Nigeria,16.03,1,25.0,Female,1
T102302,C1672,2022/11/02,Electronics,94.08,4,Cash,ethiopia,,3,32.0,Female,0
T102303,C2970,2023/07/04,Home,449.69,3,Cash,Kenya,4.59,9,66.0,Female,0
T102304,C2473,06-01-2023,Electronics,319.38,1,Mobile Money,Ghana,,12,18.0,Male,1
T102305,C2505,18-01-2023,Sports,457.53,2,Bank Transfer,S. Africa,7.27,9,55.0,Male,1
T102306,C2714,19-09-2023,Clothing,93.19,1,Bank Transfer,Egypt,20.64,1,27.0,Male,0
T102307,C1977,2022/07/30,Home,72.77,1,Cash,NIGERIA,28.93,7,45.0,Male,0
T102308,C2347,2022/11/10,Home,300.11,3,Bank Transfer,Kenya,18.41,10,24.0,Female,0
T102309,C2617,2023/10/31,Electronics,310.6,4,Cash,Nigeria,,3,31.0,Male,0
T102310,C1212,2023/11/09,Electronics,165.58,2,,Nigeria,1.21,13,45.0,Female,1
T102311,C1957,2022/02/11,Clothing,370.42,4,Bank Transfer,South Africa,,4,49.0,Male,0
T102312,C1412,2022/07/14,Electronics,19.62,5,Cash,Kenya ,2.52,6,62.0,Male,0
T102313,C1006,2023/07/31,Sports,204.86,2,Card,ethiopia,47.37,1,43.0,Male,0
T102314,C1996,26-08-2023,Clothing,274.43,3,Card,Kenya,33.88,3,24.0,Female,1
T102315,C1017,11-08-2022,Electronics,135.88,5,Mobile Money,Ghana,12.87,8,20.0,Female,0
T102316,C1394,2022/09/19,Home,459.38,2,Bank Transfer,Kenya,10.83,9,45.0,Female,1
T102317,C1114,2022/11/24,Sports,155.33,5,Bank Transfer,Nigeria,42.09,9,59.0,Male,1
T102318,C1218,2022/05/10,Sports,19894.31,3,Bank Transfer,Kenya,11.75,4,36.0,Male,1
T102319,C2369,2022/12/13,Clothing,299.13,3,Cash,Kenya,24.84,8,,Female,1
T102320,C1890,19-05-2022,Home,461.19,3,Bank Transfer,Nigeria,38.2,8,42.0,Female,1
T102321,C2725,2023/03/14,Clothing,175.08,2,Mobile Money,NIGERIA,20.1,3,21.0,Male,0
T102322,C2471,2023/03/07,Home,334.77,3,Card,Ethiopia,21.91,4,60.0,Male,0
T102323,C2261,2022/05/19,Sports,182.29,4,Bank Transfer,NIGERIA,44.67,1,43.0,Female,0
T102324,C2145,16-11-2022,Electronics,417.05,4,Cash,Egypt,0.2,1,27.0,Female,1
T102325,C2751,2023/02/04,Electronics,219.8,1,,S. Africa,5.32,14,38.0,Female,0
T102326,C1079,25-02-2022,Home,69.5,4,Mobile Money,Ethiopia,,11,70.0,Female,1
T102327,C2405,22-07-2022,Clothing,208.77,4,,Kenya ,2.96,11,22.0,Female,0
T102328,C1437,2023/11/17,Electronics,182.01,4,Mobile Money,Kenya ,49.7,5,54.0,Female,1
T102329,C1287,2023/03/18,Home,163.34,4,Bank Transfer,Ghana,3.98,1,41.0,Female,0
T102330,C2468,2023/07/17,Sports,301.76,4,Mobile Money,Ethiopia,2.97,11,38.0,Male,0
T102331,C1101,2022/04/12,Home,15.13,2,Bank Transfer,Ghana,14.75,4,63.0,Female,1
T102332,C2390,2023/04/13,Sports,367.07,1,Mobile Money,Kenya ,47.15,11,43.0,Female,0
T102333,C2611,07-06-2023,Home,398.57,1,,S. Africa,22.11,3,28.0,Male,0
T102334,C1776,14-10-2023,Electronics,67.69,3,Bank Transfer,Nigeria,48.38,3,55.0,Female,1
T102335,C1961,2023/08/01,Electronics,425.07,3,Cash,Egypt,44.61,2,67.0,Male,1
T102336,C1563,2022/02/27,Sports,259.49,2,Card,South Africa,29.55,5,46.0,Female,1
T102337,C2268,2022/01/22,Clothing,365.48,5,Cash,Kenya,39.71,5,24.0,Male,1
T102338,C1524,2022/09/26,Clothing,319.65,4,Card,Nigeria,22.2,11,58.0,Male,1
T102339,C2369,11-08-2022,Sports,131.41,2,Cash,Kenya ,7.65,8,21.0,Female,0
T102340,C1985,2023/06/10,Clothing,462.68,3,Cash,South Africa,31.02,14,42.0,Male,1
T102341,C1741,11-10-2022,Clothing,457.67,5,Cash,NIGERIA,40.43,1,69.0,Male,1
T102342,C2235,2023/08/15,Sports,225.93,4,Card,Egypt,36.73,4,59.0,Male,0
T102343,C2624,13-11-2023,Home,168.09,1,Bank Transfer,Kenya ,18.97,3,19.0,Male,0
T102344,C2021,2023/06/26,Home,411.73,4,Card,Egypt,6.03,6,59.0,Female,0
T102345,C1195,2023/09/21,Home,444.13,4,Cash,ethiopia,23.38,14,63.0,Female,1
T102346,C2383,2023/01/30,Clothing,260.23,3,Cash,Egypt,8.18,13,49.0,Male,1
T102347,C1665,2023/04/02,Electronics,327.25,5,Mobile Money,Kenya,29.69,11,61.0,Female,0
T102348,C2296,2022/09/27,Home,13620.49,2,Bank Transfer,Kenya,42.19,4,44.0,Male,1
T102349,C1120,2022/11/25,Clothing,324.93,1,Cash,ethiopia,21.73,1,55.0,Female,1
T102350,C1848,2023/03/16,Electronics,403.98,4,Card,Egypt,2.73,5,67.0,Male,1
T102351,C2339,2023/01/16,Sports,233.41,4,Mobile Money,South Africa,36.26,8,37.0,Male,1
T102352,C1005,2023/03/20,Electronics,401.87,2,Card,Ghana,44.56,12,37.0,Male,1
T102353,C2715,2022/04/11,Home,419.54,1,Mobile Money,Ghana,8.25,8,22.0,Female,0
T102354,C2185,27-07-2022,Sports,434.49,1,Bank Transfer,NIGERIA,30.2,14,21.0,Male,1
T102355,C1242,2022/05/03,Sports,218.22,5,Mobile Money,Nigeria,28.39,11,47.0,Female,0
T102356,C2767,02-06-2022,Clothing,15042.97,5,Mobile Money,Kenya ,42.48,9,67.0,Female,1
T102357,C2087,2023/02/06,Sports,226.26,5,Cash,South Africa,0.61,1,46.0,Female,1
T102358,C1999,2022/12/07,Home,17186.19,2,Bank Transfer,Ethiopia,36.34,14,46.0,Male,1
T102359,C1036,03-07-2023,Clothing,377.41,5,Card,Kenya ,3.99,1,60.0,Male,0
T102360,C1765,2023/08/07,Clothing,271.65,1,Card,ethiopia,36.36,7,,Female,1
T102361,C2216,2022/02/19,Home,134.55,5,Card,S. Africa,38.03,3,54.0,Male,0
T102362,C1888,2023/07/02,Electronics,422.73,1,Bank Transfer,ethiopia,3.63,5,23.0,Female,1
T102363,C1196,2022/04/16,Sports,418.45,1,Bank Transfer,Kenya ,2.51,6,65.0,Male,1
T102364,C2389,12-01-2022,Sports,343.66,3,Bank Transfer,Nigeria,1.67,2,65.0,Female,0
T102365,C1916,2022/12/22,Sports,80.4,3,Bank Transfer,Kenya,30.5,14,50.0,Male,1
T102366,C1154,2023/09/06,Electronics,17913.19,2,Cash,S. Africa,41.75,8,49.0,Female,0
T102367,C2088,2022/12/02,Clothing,90.29,3,Mobile Money,Ghana,12.8,2,,Male,1
T102368,C2327,2022/12/14,Home,337.74,1,Cash,Egypt,49.13,4,31.0,Male,0
T102369,C2248,22-05-2023,Sports,87.58,2,Cash,Ghana,34.93,4,69.0,Female,1
T102370,C2931,24-03-2023,Electronics,443.81,1,Bank Transfer,Egypt,38.56,1,37.0,Male,1
T102371,C1085,2023/05/03,Clothing,97.66,5,Bank Transfer,S. Africa,9.46,8,45.0,Male,1
T102372,C2779,2023/06/03,Clothing,264.17,5,Cash,Ethiopia,20.9,12,44.0,Female,0
T102373,C1130,2022/03/28,Clothing,227.37,2,Mobile Money,Ghana,46.86,6,62.0,Female,0
T102374,C2507,15-05-2023,Sports,295.99,5,Card,Egypt,12.41,10,22.0,Male,0
T102375,C2349,2023/09/19,Home,375.14,4,Bank Transfer,Ghana,16.61,6,27.0,Male,0
T102376,C2109,04-11-2023,Home,416.41,2,Bank Transfer,ethiopia,2.84,11,,Female,0
T102377,C2239,06-09-2023,Electronics,195.25,2,Cash,Kenya,19.06,9,,Male,1
T102378,C2038,2023/01/18,Electronics,126.51,1,Mobile Money,Egypt,32.57,7,38.0,Female,1
T102379,C1150,24-05-2022,Clothing,275.42,1,Bank Transfer,ethiopia,3.43,1,36.0,Male,0
T102380,C2441,14-02-2023,Sports,256.26,5,Mobile Money,Ghana,10.47,3,30.0,Female,1
T102381,C2748,03-03-2023,Clothing,40.97,5,Card,South Africa,25.62,4,55.0,Female,1
T102382,C2963,2023/01/20,Home,279.89,1,Card,Kenya ,13.96,2,62.0,Male,0
T102383,C1326,2023/01/31,Sports,8.65,2,Card,Kenya ,26.39,13,5.0,Male,1
T102384,C2753,2022/11/19,Electronics,268.87,2,Card,Nigeria,42.85,6,47.0,Female,0
T102385,C2133,04-08-2023,Home,467.42,-1,Bank Transfer,Ethiopia,37.89,7,28.0,Male,0
T102386,C1440,2023/11/10,Electronics,426.03,5,Card,Ghana,0.24,13,57.0,Male,1
T102387,C1073,2023/04/22,Sports,318.22,1,Card,South Africa,34.49,6,31.0,Male,1
T102388,C2454,2022/07/11,Home,22.66,5,Mobile Money,Kenya,,6,69.0,Female,0
T102389,C1423,2022/08/15,Electronics,224.35,5,Cash,Nigeria,23.89,14,54.0,Female,1
T102390,C1691,02-09-2022,Electronics,195.03,5,Mobile Money,South Africa,11.06,6,19.0,Male,1
T102391,C1208,06-02-2023,Sports,26.68,4,Cash,Ghana,,14,32.0,Female,1
T102392,C2046,2023/11/23,Home,372.73,1,Card,S. Africa,1.06,1,40.0,Male,1
T102393,C2523,2022/01/17,Electronics,383.99,3,Card,S. Africa,46.25,8,40.0,Female,1
T102394,C1192,2023/02/05,Clothing,454.2,3,Cash,NIGERIA,17.29,12,53.0,Female,0
T102395,C1020,2022/05/26,Home,473.12,1,Card,NIGERIA,39.15,5,66.0,Female,1
T102396,C2608,2022/05/27,Sports,453.91,3,Mobile Money,Ghana,18.17,1,,Male,1
T102397,C2472,2023/08/20,Sports,160.99,3,Cash,Ethiopia,29.68,11,68.0,Male,1
T102398,C1662,2022/02/28,Electronics,218.15,1,Cash,NIGERIA,0.3,8,,Male,1
T102399,C1347,2022/12/10,Clothing,44.73,1,Bank Transfer,Ethiopia,27.3,6,22.0,Female,0
T102400,C1197,02-02-2023,Sports,178.74,5,Cash,Kenya ,9.4,13,65.0,Male,0
T102401,C2558,11-07-2023,Sports,487.92,1,Cash,NIGERIA,14.24,7,48.0,Female,1
T102402,C1783,2022/06/23,Electronics,461.24,1,Mobile Money,S. Africa,29.02,8,55.0,Male,1
T102403,C1245,09-01-2022,Home,383.53,2,Cash,Egypt,7.05,11,52.0,Female,0
T102404,C2099,2022/05/06,Electronics,96.91,5,Card,Egypt,9.74,8,18.0,Male,0
T102405,C1464,2023/07/30,Home,16064.33,4,Bank Transfer,Kenya,29.08,12,5.0,Male,1
T102406,C1071,2023/09/09,Sports,456.09,3,Card,S. Africa,47.18,5,47.0,Female,0
T102407,C2131,2023/10/21,Electronics,463.25,3,Bank Transfer,S. Africa,15.72,10,42.0,Female,0
T102408,C1336,03-05-2023,Home,247.07,5,Card,Nigeria,16.32,6,24.0,Female,0
T102409,C2403,2022/08/28,Electronics,201.6,2,Cash,ethiopia,22.2,9,58.0,Male,1
T102410,C2659,05-10-2023,Electronics,8.68,2,Cash,South Africa,22.07,4,,Male,0
T102411,C2076,27-09-2022,Electronics,430.45,1,Bank Transfer,Ethiopia,20.7,12,47.0,Male,0
T102412,C1911,29-07-2022,Sports,376.31,3,Card,Egypt,46.59,7,46.0,Male,0
T102413,C2335,2022/04/11,Home,205.24,1,Card,ethiopia,44.4,9,25.0,Female,1
T102414,C2038,2022/04/17,Sports,12942.73,3,Card,S. Africa,1.89,3,43.0,Male,0
T102415,C1885,2022/03/09,Home,21.82,5,Bank Transfer,NIGERIA,41.72,10,23.0,Male,1
T102416,C2865,2022/05/17,Clothing,497.84,1,,ethiopia,39.36,10,23.0,Female,1
T102417,C1522,18-08-2023,Sports,346.77,1,Cash,Kenya ,32.45,3,69.0,Male,0
T102418,C1745,2022/12/20,Clothing,254.41,2,Card,Kenya ,3.17,4,37.0,Female,1
T102419,C1826,14-01-2022,Sports,497.08,4,Mobile Money,Kenya,0.19,4,44.0,Male,0
T102420,C2087,2023/06/07,Sports,114.59,3,Cash,Nigeria,38.85,13,46.0,Male,1
T102421,C1871,2023/08/09,Home,388.13,2,Cash,Ethiopia,2.14,5,44.0,Male,1
T102422,C1884,2023/11/20,Clothing,30.73,4,Card,S. Africa,13.97,2,22.0,Male,1
T102423,C1603,25-03-2023,Clothing,283.11,2,Mobile Money,Ghana,25.19,4,52.0,Female,0
T102424,C1982,2022/08/15,Clothing,232.3,4,Cash,Egypt,32.03,7,,Female,1
T102425,C1597,2022/03/18,Home,479.23,2,Cash,Egypt,20.82,14,40.0,Female,1
T102426,C1986,2023/05/23,Home,345.56,3,Cash,ethiopia,48.65,9,30.0,Female,0
